Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	UCB57_A Spectral Count	UCB57_B Spectral Count	UCB57_C Spectral Count	UCB57_D Spectral Count	UCB57_E Spectral Count	UCB57_F Spectral Count	UCB57_Neat Spectral Count	UCB57_Raw Spectral Count	UCB78_A Spectral Count	UCB78_B Spectral Count	UCB78_C Spectral Count	UCB78_D Spectral Count	UCB78_E Spectral Count	UCB78_F Spectral Count	UCB78_Neat Spectral Count	UCB78_Raw Spectral Count	UCB79_A Spectral Count	UCB79_B Spectral Count	UCB79_C Spectral Count	UCB79_D Spectral Count	UCB79_E Spectral Count	UCB79_F Spectral Count	UCB79_Neat Spectral Count	UCB79_Raw Spectral Count	UCB57_A Unique Spectral Count	UCB57_B Unique Spectral Count	UCB57_C Unique Spectral Count	UCB57_D Unique Spectral Count	UCB57_E Unique Spectral Count	UCB57_F Unique Spectral Count	UCB57_Neat Unique Spectral Count	UCB57_Raw Unique Spectral Count	UCB78_A Unique Spectral Count	UCB78_B Unique Spectral Count	UCB78_C Unique Spectral Count	UCB78_D Unique Spectral Count	UCB78_E Unique Spectral Count	UCB78_F Unique Spectral Count	UCB78_Neat Unique Spectral Count	UCB78_Raw Unique Spectral Count	UCB79_A Unique Spectral Count	UCB79_B Unique Spectral Count	UCB79_C Unique Spectral Count	UCB79_D Unique Spectral Count	UCB79_E Unique Spectral Count	UCB79_F Unique Spectral Count	UCB79_Neat Unique Spectral Count	UCB79_Raw Unique Spectral Count	UCB57_A Total Spectral Count	UCB57_B Total Spectral Count	UCB57_C Total Spectral Count	UCB57_D Total Spectral Count	UCB57_E Total Spectral Count	UCB57_F Total Spectral Count	UCB57_Neat Total Spectral Count	UCB57_Raw Total Spectral Count	UCB78_A Total Spectral Count	UCB78_B Total Spectral Count	UCB78_C Total Spectral Count	UCB78_D Total Spectral Count	UCB78_E Total Spectral Count	UCB78_F Total Spectral Count	UCB78_Neat Total Spectral Count	UCB78_Raw Total Spectral Count	UCB79_A Total Spectral Count	UCB79_B Total Spectral Count	UCB79_C Total Spectral Count	UCB79_D Total Spectral Count	UCB79_E Total Spectral Count	UCB79_F Total Spectral Count	UCB79_Neat Total Spectral Count	UCB79_Raw Total Spectral Count	UCB57_A Intensity	UCB57_B Intensity	UCB57_C Intensity	UCB57_D Intensity	UCB57_E Intensity	UCB57_F Intensity	UCB57_Neat Intensity	UCB57_Raw Intensity	UCB78_A Intensity	UCB78_B Intensity	UCB78_C Intensity	UCB78_D Intensity	UCB78_E Intensity	UCB78_F Intensity	UCB78_Neat Intensity	UCB78_Raw Intensity	UCB79_A Intensity	UCB79_B Intensity	UCB79_C Intensity	UCB79_D Intensity	UCB79_E Intensity	UCB79_F Intensity	UCB79_Neat Intensity	UCB79_Raw Intensity	UCB57_A MaxLFQ Intensity	UCB57_B MaxLFQ Intensity	UCB57_C MaxLFQ Intensity	UCB57_D MaxLFQ Intensity	UCB57_E MaxLFQ Intensity	UCB57_F MaxLFQ Intensity	UCB57_Neat MaxLFQ Intensity	UCB57_Raw MaxLFQ Intensity	UCB78_A MaxLFQ Intensity	UCB78_B MaxLFQ Intensity	UCB78_C MaxLFQ Intensity	UCB78_D MaxLFQ Intensity	UCB78_E MaxLFQ Intensity	UCB78_F MaxLFQ Intensity	UCB78_Neat MaxLFQ Intensity	UCB78_Raw MaxLFQ Intensity	UCB79_A MaxLFQ Intensity	UCB79_B MaxLFQ Intensity	UCB79_C MaxLFQ Intensity	UCB79_D MaxLFQ Intensity	UCB79_E MaxLFQ Intensity	UCB79_F MaxLFQ Intensity	UCB79_Neat MaxLFQ Intensity	UCB79_Raw MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 3-9	1.0	0.999	5	31	23	93	0	0	0	0	0	0	8	4	2	0	1	0	0	0	3	3	2	0	0	0	0	0	5	3	0	0	0	0	0	0	7	3	1	0	0	0	0	0	2	2	2	0	0	0	0	0	4	2	0	0	0	0	0	0	12	11	5	0	6	0	0	0	10	15	6	0	0	0	0	0	11	17	0.0	0.0	0.0	0.0	0.0	0.0	4.1970312E7	5.4740028E7	3.6294336E7	0.0	7803994.0	0.0	0.0	0.0	0.0	2.2512632E7	2.4243992E7	0.0	0.0	0.0	0.0	0.0	3.7787008E7	9.093028E7	0.0	0.0	0.0	0.0	0.0	0.0	4.4473004E7	0.0	1.9695552E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2434237E7	0.0	0.0	0.0	0.0	0.0	3.0570972E7	3.0077602E7	
sp|A0A075B6Q5|HV364_HUMAN	A0A075B6Q5	HV364_HUMAN	IGHV3-64	118	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 3-64	0.99	0.9986	1	11	11	11	0	0	0	0	0	0	3	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2	1	0.0	0.0	0.0	0.0	0.0	0.0	4821112.5	4.24371E7	0.0	0.0	0.0	0.0	0.0	0.0	6.2438552E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0851596E7	1.4725714E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6R2|HV404_HUMAN	A0A075B6R2	HV404_HUMAN	IGHV4-4	117	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 4-4	1.0	0.9985	3	37	37	124	0	0	3	0	0	0	3	2	3	0	3	0	0	0	5	4	4	0	2	0	0	0	4	4	0	0	3	0	0	0	3	2	3	0	3	0	0	0	5	4	4	0	2	0	0	0	4	4	0	0	6	0	0	0	5	14	12	0	16	0	0	0	12	11	12	0	14	0	0	0	12	10	0.0	0.0	0.0	0.0	0.0	0.0	6.8806064E7	1.06509312E8	7.9947976E7	0.0	1.6270174E7	0.0	0.0	0.0	2.35285776E8	6.138584E7	8.8159024E7	0.0	2.016549E7	0.0	0.0	0.0	2.06101088E8	4.38370976E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3792186E7	0.0	0.0	0.0	1.4769352E8	0.0	6.0063612E7	0.0	0.0	0.0	0.0	0.0	1.3594672E8	3.8904688E8	
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	1.0	0.999	4	103	0	103	7	0	8	0	0	0	9	8	7	0	11	0	0	0	10	10	7	0	8	0	0	0	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	0	9	8	7	0	11	0	0	0	10	10	7	0	8	0	0	0	10	8	0.0	0.0	4.43593408E8	0.0	0.0	0.0	2.26925408E8	6909879.5	1.96779888E8	0.0	3.28328544E8	0.0	0.0	0.0	3.22382496E8	1.353363E7	5.03772E8	0.0	6.7133696E8	0.0	0.0	0.0	5.10854816E8	2.00582992E8	0.0	0.0	1.85634112E8	0.0	0.0	0.0	1.01072672E8	0.0	0.0	0.0	4.09443008E8	0.0	0.0	0.0	2.258124E8	1.4703351E7	5.9246592E8	0.0	5.6851494E8	0.0	0.0	0.0	2.86641472E8	7.4944888E7	sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S2|KVD29_HUMAN	A0A075B6S2	KVD29_HUMAN	IGKV2D-29	120	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin kappa variable 2D-29	1.0	0.999	5	86	3	92	6	0	9	0	0	0	5	6	10	0	12	0	0	0	3	5	7	0	12	0	0	0	4	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	0	0	0	6	6	10	0	13	0	0	0	5	5	8	0	12	0	0	0	5	7	3.08877184E9	0.0	1.3869776E8	0.0	0.0	0.0	1.6059904E8	4.1489352E7	3.2519401E9	0.0	2.0841114E7	0.0	0.0	0.0	1.05321008E8	4.6452434E9	3.33691341E9	0.0	2.25329203E9	0.0	0.0	0.0	4.7285016E7	3.87956915E9	0.0	0.0	1.0448636E8	0.0	0.0	0.0	2.57346768E8	4.8755296E7	1.58634163E9	0.0	0.0	0.0	0.0	0.0	1.35696256E8	0.0	0.0	0.0	8.3934112E8	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin kappa variable 1-27	1.0	0.999	3	141	30	141	3	0	8	0	0	0	28	25	4	0	6	0	0	0	18	13	5	0	4	0	0	0	16	11	0	0	3	0	0	0	6	7	1	0	2	0	0	0	3	2	1	0	1	0	0	0	2	2	3	0	8	0	0	0	28	25	4	0	6	0	0	0	18	13	5	0	4	0	0	0	16	11	2.72543776E8	0.0	2.8558094E7	0.0	0.0	0.0	1.41184384E9	5.9496032E8	3.62082816E8	0.0	1.12266008E8	0.0	0.0	0.0	9.2547789E8	5.8877344E8	3.70566816E8	0.0	1.1169192E8	0.0	0.0	0.0	1.22653197E9	6.3633318E8	2.85129184E8	0.0	0.0	0.0	0.0	0.0	5.8191475E8	3.94131136E8	2.48521248E8	0.0	1.19618784E8	0.0	0.0	0.0	5.5932736E8	2.77065312E8	2.5860368E8	0.0	1.22931584E8	0.0	0.0	0.0	1.18183782E9	3.67254016E8	
sp|A0A075B6S9|KV137_HUMAN	A0A075B6S9	KV137_HUMAN	IGKV1-37	117	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable non-functional immunoglobulinn kappa variable 1-37	1.0	0.999	1	21	0	21	0	0	0	0	0	0	1	2	1	0	0	0	0	0	4	4	1	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	4	4	1	0	0	0	0	0	4	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4183116E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6798242.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P0DSN7|KVD37_HUMAN
sp|A0A087WSX0|LV545_HUMAN	A0A087WSX0	LV545_HUMAN	IGLV5-45	123	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 5-45	1.0	0.999	3	14	13	14	0	0	3	0	0	0	5	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	4	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	5	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	4.1275644E7	0.0	0.0	0.0	2990682.0	0.0	0.0	0.0	2.5772534E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A087WSY4|HV432_HUMAN	A0A087WSY4	HV432_HUMAN	IGHV4-30-2	118	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 4-30-2	0.99	0.9984	2	7	7	52	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	9	0	0	0	0	0	3	0	11	0	0	0	0	0	0	0	9	0	13	0	0	0	0	7	1.46313792E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03106944E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00322728E8	0.0	3.9363592E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-15	1.0	0.999	3	201	41	201	16	0	21	0	0	0	26	22	14	0	13	0	0	0	15	20	9	0	13	0	0	0	16	16	1	0	1	0	0	0	8	6	1	0	1	0	0	0	6	5	1	0	1	0	0	0	5	5	16	0	21	0	0	0	26	22	14	0	13	0	0	0	15	20	9	0	13	0	0	0	16	16	2.12538432E9	0.0	6.987801E8	0.0	0.0	0.0	1.2138432E9	6.0151891E8	1.67738406E9	0.0	6.61856E8	0.0	0.0	0.0	2.18456525E9	8.5009088E8	1.3456736E9	0.0	6.0922093E8	0.0	0.0	0.0	2.29475098E9	4.38763712E8	1.00521421E9	0.0	5.0102192E8	0.0	0.0	0.0	8.8452134E8	7.3210502E8	7.9943597E8	0.0	3.0141872E8	0.0	0.0	0.0	1.52513958E9	8.1946458E8	6.4433197E8	0.0	2.65067072E8	0.0	0.0	0.0	2.97238246E9	4.89762656E8	
